split,method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error
clean_contact,causal_scene_flow_model,3,42,0.90951,0.84426,0.99783,0.95238,0.14279,0.21275,0.66667,0.02381,0.06298,0.13976
clean_contact,causal_scene_flow_model,4,42,0.90049,0.83138,0.99788,0.95238,0.15520,0.21691,0.78571,0.07143,0.06238,0.15039
clean_contact,causal_scene_flow_model,5,42,0.88148,0.79541,1.00000,1.00000,0.20404,0.23834,0.64286,0.07143,0.06685,0.15859
clean_contact,causal_scene_flow_model,6,42,0.88044,0.79916,0.99563,0.90476,0.18908,0.22983,0.80952,0.02381,0.06951,0.16305
clean_contact,oracle_causal_mask,0,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.92857,0.00000,0.00003,0.00257
clean_contact,oracle_causal_mask,1,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.02381,0.00003,0.00254
clean_contact,oracle_causal_mask,2,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00003,0.00261
clean_contact,oracle_causal_mask,3,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00253
clean_contact,oracle_causal_mask,4,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00250
clean_contact,oracle_causal_mask,5,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.92857,0.00000,0.00003,0.00246
clean_contact,oracle_causal_mask,6,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00250
combined_hard_shift,flow_magnitude_threshold,0,42,0.39362,0.27712,0.69229,0.08741,0.96988,0.87282,0.14286,0.30952,0.35043,0.38069
combined_hard_shift,flow_magnitude_threshold,1,42,0.39575,0.27612,0.70312,0.10964,0.96235,0.71214,0.16667,0.33333,0.34262,0.38664
combined_hard_shift,flow_magnitude_threshold,2,42,0.40518,0.28802,0.68999,0.07657,0.96348,0.81566,0.07143,0.35714,0.34788,0.36953
combined_hard_shift,flow_magnitude_threshold,3,42,0.39235,0.27541,0.69026,0.07679,0.96714,0.81148,0.09524,0.23810,0.35028,0.38025
combined_hard_shift,flow_magnitude_threshold,4,42,0.40726,0.28921,0.69835,0.11408,0.96866,0.72952,0.16667,0.40476,0.34455,0.37117
combined_hard_shift,flow_magnitude_threshold,5,42,0.40547,0.28849,0.69121,0.08322,0.96176,0.78499,0.07143,0.21429,0.34403,0.36969
combined_hard_shift,flow_magnitude_threshold,6,42,0.39476,0.27741,0.69388,0.08312,0.97555,0.88140,0.07143,0.35714,0.34992,0.38079
combined_hard_shift,action_direction_projection,0,42,0.64837,0.52934,0.91038,0.73338,0.44850,0.48495,0.42857,0.23810,0.19223,0.27244
combined_hard_shift,action_direction_projection,1,42,0.58526,0.45748,0.92240,0.76697,0.61435,0.47186,0.30952,0.26190,0.24344,0.33821
combined_hard_shift,action_direction_projection,2,42,0.64407,0.51051,0.93771,0.81336,0.52873,0.49397,0.47619,0.23810,0.21125,0.29219
combined_hard_shift,action_direction_projection,3,42,0.62100,0.48238,0.93061,0.79226,0.53913,0.46110,0.33333,0.26190,0.22003,0.30377
combined_hard_shift,action_direction_projection,4,42,0.60024,0.45696,0.92250,0.77532,0.57162,0.49249,0.28571,0.23810,0.23118,0.31803
combined_hard_shift,action_direction_projection,5,42,0.63156,0.49666,0.92642,0.78136,0.51668,0.45221,0.40476,0.14286,0.21753,0.29645
combined_hard_shift,action_direction_projection,6,42,0.65817,0.53115,0.92351,0.77320,0.44838,0.50100,0.30952,0.11905,0.18577,0.27104
combined_hard_shift,rigid_scene_flow_cluster,0,42,0.51866,0.35198,0.99915,0.99762,0.99605,0.85571,0.16667,0.35714,0.24211,0.33917
combined_hard_shift,rigid_scene_flow_cluster,1,42,0.51507,0.34759,1.00000,1.00000,0.99155,0.70350,0.14286,0.33333,0.23519,0.33973
combined_hard_shift,rigid_scene_flow_cluster,2,42,0.53505,0.36621,1.00000,1.00000,0.98990,0.79709,0.11905,0.30952,0.23833,0.33002
combined_hard_shift,rigid_scene_flow_cluster,3,42,0.51873,0.35129,1.00000,1.00000,0.99263,0.79063,0.14286,0.30952,0.23903,0.33657
combined_hard_shift,rigid_scene_flow_cluster,4,42,0.53380,0.36558,1.00000,1.00000,0.99443,0.71925,0.23810,0.28571,0.23566,0.32966
combined_hard_shift,rigid_scene_flow_cluster,5,42,0.53339,0.36515,1.00000,1.00000,0.99361,0.77160,0.14286,0.42857,0.23487,0.32857
combined_hard_shift,rigid_scene_flow_cluster,6,42,0.52279,0.35544,1.00000,1.00000,0.98929,0.85949,0.09524,0.40476,0.23929,0.33724
